PASS
ok  	github.com/olekukonko/tablewriter	0.819s
?   	github.com/olekukonko/tablewriter/cmd/csv2table	[no test files]
goos: darwin
goarch: arm64
pkg: github.com/olekukonko/tablewriter/pkg/twwarp
cpu: Apple M2
BenchmarkWrapString-8             	   10630	    111320 ns/op	  90.22 MB/s	   48488 B/op	      33 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAtrue_CacheMiss-8        	 6193920	       214.8 ns/op	 162.92 MB/s	      55 B/op	       1 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAtrue_CacheMiss-8        	 6190384	       209.4 ns/op	 167.16 MB/s	      55 B/op	       1 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAtrue_CacheHit-8         	79747688	        14.75 ns/op	2372.71 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAtrue_CacheHit-8         	79607492	        14.75 ns/op	2372.90 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAtrue_CacheHit-8         	81634501	        14.73 ns/op	2376.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAtrue_CacheHit-8         	81644916	        14.70 ns/op	2381.26 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAtrue_CacheHit-8         	82505884	        14.70 ns/op	2380.77 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAtrue_CacheHit-8         	81840265	        14.70 ns/op	2380.34 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_NoCache-8       	 1000000	      1053 ns/op	  57.95 MB/s	     185 B/op	       6 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_NoCache-8       	 1000000	      1028 ns/op	  59.34 MB/s	     185 B/op	       6 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_NoCache-8       	 1000000	      1029 ns/op	  59.27 MB/s	     185 B/op	       6 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_NoCache-8       	 1000000	      1025 ns/op	  59.49 MB/s	     185 B/op	       6 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_NoCache-8       	 1000000	      1026 ns/op	  59.48 MB/s	     185 B/op	       6 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_NoCache-8       	 1000000	      1025 ns/op	  59.54 MB/s	     185 B/op	       6 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheMiss-8     	 1000000	      1352 ns/op	  45.13 MB/s	     437 B/op	       7 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheMiss-8     	 6619118	      1219 ns/op	  50.06 MB/s	     320 B/op	       7 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheMiss-8     	 6486976	       221.2 ns/op	 275.81 MB/s	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheMiss-8     	 6508150	       217.8 ns/op	 280.07 MB/s	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheMiss-8     	 6487533	       217.4 ns/op	 280.56 MB/s	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheMiss-8     	 6243558	       216.4 ns/op	 281.93 MB/s	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheHit-8      	80787679	        14.90 ns/op	4093.19 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheHit-8      	81640521	        14.89 ns/op	4097.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheHit-8      	81596338	        14.71 ns/op	4145.47 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheHit-8      	81950889	        14.84 ns/op	4111.86 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheHit-8      	79321578	        14.78 ns/op	4126.88 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheHit-8      	81880058	        14.75 ns/op	4134.44 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_NoCache-8        	  906406	      1313 ns/op	  46.44 MB/s	     185 B/op	       6 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_NoCache-8        	  917503	      1313 ns/op	  46.46 MB/s	     185 B/op	       6 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_NoCache-8        	  915308	      1312 ns/op	  46.49 MB/s	     185 B/op	       6 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_NoCache-8        	  918404	      1312 ns/op	  46.51 MB/s	     185 B/op	       6 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_NoCache-8        	  892551	      1338 ns/op	  45.58 MB/s	     185 B/op	       6 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_NoCache-8        	  915020	      1333 ns/op	  45.76 MB/s	     185 B/op	       6 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_CacheMiss-8      	  791368	      1633 ns/op	  37.36 MB/s	     374 B/op	       7 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_CacheMiss-8      	 2314653	      1064 ns/op	  57.34 MB/s	     265 B/op	       5 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_CacheMiss-8      	 6531552	      1198 ns/op	  50.94 MB/s	     258 B/op	       5 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_CacheMiss-8      	 6629763	       242.5 ns/op	 251.57 MB/s	      90 B/op	       2 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_CacheMiss-8      	 6388215	       219.1 ns/op	 278.36 MB/s	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_CacheMiss-8      	 6472197	       218.6 ns/op	 279.09 MB/s	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_CacheHit-8       	80704821	        14.76 ns/op	4132.33 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_CacheHit-8       	82628028	        14.70 ns/op	4149.56 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_CacheHit-8       	81870517	        14.70 ns/op	4148.97 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_CacheHit-8       	81944124	        14.99 ns/op	4068.84 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_CacheHit-8       	81918950	        14.70 ns/op	4150.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_CacheHit-8       	82547270	        14.91 ns/op	4092.20 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_NoCache-8           	 1604370	       749.9 ns/op	  80.02 MB/s	     145 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_NoCache-8           	 1610148	       749.7 ns/op	  80.03 MB/s	     145 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_NoCache-8           	 1585026	       744.8 ns/op	  80.56 MB/s	     145 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_NoCache-8           	 1615032	       749.9 ns/op	  80.01 MB/s	     145 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_NoCache-8           	 1614980	       743.3 ns/op	  80.72 MB/s	     145 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_NoCache-8           	 1609586	       741.8 ns/op	  80.88 MB/s	     145 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheMiss-8         	 1000000	      1095 ns/op	  54.77 MB/s	     428 B/op	       4 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheMiss-8         	 6214893	       995.6 ns/op	  60.26 MB/s	     316 B/op	       4 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheMiss-8         	 5702408	       224.5 ns/op	 267.21 MB/s	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheMiss-8         	 5712139	       220.2 ns/op	 272.50 MB/s	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheMiss-8         	 5783916	       228.2 ns/op	 262.91 MB/s	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheMiss-8         	 5713358	       224.0 ns/op	 267.91 MB/s	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheHit-8          	78757815	        14.92 ns/op	4020.51 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheHit-8          	81419875	        14.79 ns/op	4057.15 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheHit-8          	81656493	        14.75 ns/op	4068.12 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheHit-8          	81522430	        14.73 ns/op	4073.37 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheHit-8          	81887037	        14.70 ns/op	4080.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheHit-8          	82019505	        14.72 ns/op	4074.99 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_NoCache-8            	 1241600	       965.5 ns/op	  62.14 MB/s	     145 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_NoCache-8            	 1243646	       964.8 ns/op	  62.19 MB/s	     145 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_NoCache-8            	 1243516	       968.1 ns/op	  61.98 MB/s	     144 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_NoCache-8            	 1241917	       965.3 ns/op	  62.16 MB/s	     145 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_NoCache-8            	 1242903	       985.0 ns/op	  60.92 MB/s	     145 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_NoCache-8            	 1223456	       964.3 ns/op	  62.22 MB/s	     145 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheMiss-8          	 1000000	      1378 ns/op	  43.55 MB/s	     428 B/op	       4 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheMiss-8          	 6265657	      1229 ns/op	  48.84 MB/s	     316 B/op	       4 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheMiss-8          	 5960497	       224.3 ns/op	 267.52 MB/s	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheMiss-8          	 5961004	       222.6 ns/op	 269.52 MB/s	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheMiss-8          	 5772004	       226.5 ns/op	 264.87 MB/s	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheMiss-8          	 5766748	       223.5 ns/op	 268.51 MB/s	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheHit-8           	78664455	        14.76 ns/op	4063.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheHit-8           	81305858	        14.71 ns/op	4079.19 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheHit-8           	81626406	        14.71 ns/op	4078.32 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheHit-8           	81168830	        14.71 ns/op	4077.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheHit-8           	81860040	        14.72 ns/op	4075.37 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheHit-8           	81093633	        14.88 ns/op	4031.15 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_NoCache-8   	  837949	      1397 ns/op	  62.29 MB/s	     193 B/op	       5 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_NoCache-8   	  869082	      1380 ns/op	  63.04 MB/s	     193 B/op	       5 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_NoCache-8   	  864015	      1377 ns/op	  63.18 MB/s	     193 B/op	       5 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_NoCache-8   	  873742	      1374 ns/op	  63.33 MB/s	     193 B/op	       5 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_NoCache-8   	  875703	      1375 ns/op	  63.27 MB/s	     193 B/op	       5 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_NoCache-8   	  866865	      1375 ns/op	  63.26 MB/s	     194 B/op	       5 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheMiss-8 	  772100	      1709 ns/op	  50.91 MB/s	     543 B/op	       7 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheMiss-8 	 2127564	      1046 ns/op	  83.14 MB/s	     361 B/op	       5 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheMiss-8 	 6476034	      1274 ns/op	  68.30 MB/s	     381 B/op	       6 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheMiss-8 	 6401709	       221.3 ns/op	 393.18 MB/s	     103 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheMiss-8 	 6368766	       220.2 ns/op	 395.14 MB/s	     103 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheMiss-8 	 6404850	       220.6 ns/op	 394.34 MB/s	     103 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheHit-8  	74606566	        15.83 ns/op	5494.39 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheHit-8  	76326774	        15.72 ns/op	5536.01 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheHit-8  	76140116	        15.74 ns/op	5525.94 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheHit-8  	76340330	        15.69 ns/op	5544.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheHit-8  	76240900	        15.69 ns/op	5544.81 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheHit-8  	76301294	        15.73 ns/op	5531.49 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_NoCache-8    	  753624	      1592 ns/op	  54.64 MB/s	     193 B/op	       5 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_NoCache-8    	  757292	      1599 ns/op	  54.42 MB/s	     193 B/op	       5 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_NoCache-8    	  758196	      1588 ns/op	  54.79 MB/s	     193 B/op	       5 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_NoCache-8    	  753902	      1586 ns/op	  54.85 MB/s	     193 B/op	       5 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_NoCache-8    	  758770	      1589 ns/op	  54.74 MB/s	     193 B/op	       5 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_NoCache-8    	  757748	      1590 ns/op	  54.71 MB/s	     193 B/op	       5 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheMiss-8  	  653979	      1985 ns/op	  43.82 MB/s	     561 B/op	       7 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheMiss-8  	 2344717	       731.5 ns/op	 118.93 MB/s	     263 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheMiss-8  	 6440574	      1420 ns/op	  61.26 MB/s	     369 B/op	       5 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheMiss-8  	 6506366	       238.2 ns/op	 365.22 MB/s	     107 B/op	       2 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheMiss-8  	 6504939	       220.8 ns/op	 394.05 MB/s	     103 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheMiss-8  	 6399746	       221.0 ns/op	 393.66 MB/s	     103 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheHit-8   	75646941	        15.95 ns/op	5453.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheHit-8   	75406885	        15.73 ns/op	5532.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheHit-8   	76186243	        15.69 ns/op	5545.76 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheHit-8   	76350855	        15.76 ns/op	5521.29 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheHit-8   	76240896	        15.70 ns/op	5542.36 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheHit-8   	76404126	        15.90 ns/op	5471.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_NoCache-8     	  241440	      4945 ns/op	 109.19 MB/s	    1181 B/op	       3 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_NoCache-8     	  245013	      5050 ns/op	 106.94 MB/s	    1180 B/op	       3 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_NoCache-8     	  245098	      4887 ns/op	 110.49 MB/s	    1177 B/op	       3 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_NoCache-8     	  244785	      4971 ns/op	 108.62 MB/s	    1179 B/op	       3 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_NoCache-8     	  245007	      4880 ns/op	 110.66 MB/s	    1182 B/op	       3 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_NoCache-8     	  245986	      4878 ns/op	 110.71 MB/s	    1181 B/op	       3 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheMiss-8   	  232534	      5203 ns/op	 103.78 MB/s	    1845 B/op	       4 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheMiss-8   	 1000000	      4309 ns/op	 125.31 MB/s	    1613 B/op	       4 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheMiss-8   	 3491629	      4013 ns/op	 134.57 MB/s	    1471 B/op	       4 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheMiss-8   	 3670467	       847.5 ns/op	 637.15 MB/s	     680 B/op	       2 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheMiss-8   	 3669694	       385.0 ns/op	1402.66 MB/s	     583 B/op	       1 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheMiss-8   	 3242532	       356.5 ns/op	1514.63 MB/s	     583 B/op	       1 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheHit-8    	50391319	        23.77 ns/op	22714.54 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheHit-8    	51225590	        23.32 ns/op	23159.25 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheHit-8    	51732408	        23.74 ns/op	22751.21 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheHit-8    	46074986	        24.16 ns/op	22352.67 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheHit-8    	43649127	        24.43 ns/op	22104.61 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheHit-8    	49954903	        23.53 ns/op	22952.45 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_NoCache-8      	  127574	      9378 ns/op	  57.58 MB/s	    1180 B/op	       3 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_NoCache-8      	  128386	      9386 ns/op	  57.53 MB/s	    1183 B/op	       3 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_NoCache-8      	  128604	      9280 ns/op	  58.19 MB/s	    1178 B/op	       3 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_NoCache-8      	  129218	      9264 ns/op	  58.29 MB/s	    1179 B/op	       3 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_NoCache-8      	  129030	      9261 ns/op	  58.31 MB/s	    1179 B/op	       3 allocs/op
